col_name,factors,levels,coef,w_stderr,ci_95_upper,ci_95_lower,factors_label
country_grp_2[grp 01],country_grp_2,grp 01,-8.390316553863483,0.06935505874594391,-8.254371488347742,-8.526261619379225,Country Group
country_grp_2[grp 02],country_grp_2,grp 02,-6.051541566801449,0.020109811368309076,-6.012123683327536,-6.090959450275362,Country Group
country_grp_2[grp 03],country_grp_2,grp 03,-5.736615415783751,0.026352438557407702,-5.684961159396925,-5.788269672170577,Country Group
country_grp_2[grp 04],country_grp_2,grp 04,-5.590566199341682,0.025474428286258396,-5.540632958926771,-5.640499439756592,Country Group
country_grp_2[grp 05],country_grp_2,grp 05,-5.518934226283409,0.02445233718000033,-5.471004419286561,-5.566864033280257,Country Group
country_grp_2[grp 06],country_grp_2,grp 06,-5.508313433671241,0.0263367373977572,-5.456689953628866,-5.559936913713616,Country Group
country_grp_2[grp 07],country_grp_2,grp 07,-5.307904722255821,0.023450489492446436,-5.261938668905556,-5.353870775606087,Country Group
country_grp_2[grp 08],country_grp_2,grp 08,-5.127248537511728,0.02212885952372793,-5.083873053269668,-5.170624021753788,Country Group
country_grp_2[grp 09],country_grp_2,grp 09,-5.038560310192417,0.028550133554657287,-4.982598281657649,-5.094522338727185,Country Group
country_grp_2[grp 10],country_grp_2,grp 10,-4.637375896093957,0.020161017552713975,-4.597857641742713,-4.676894150445201,Country Group
country_grp_2[grp 01]:standardize(time_1),country_grp_2:standardize(time_1),grp 01 time_1,-1.2209566379160277,0.0450142503218314,-1.1327227683210253,-1.3091905075110302,Devt Time <=30
country_grp_2[grp 02]:standardize(time_1),country_grp_2:standardize(time_1),grp 02 time_1,-0.7864829958276279,0.029232777089164774,-0.7291828959005122,-0.8437830957547436,Devt Time <=30
country_grp_2[grp 03]:standardize(time_1),country_grp_2:standardize(time_1),grp 03 time_1,-0.6139305388107538,0.03849914314861134,-0.5384671388472441,-0.6893939387742635,Devt Time <=30
country_grp_2[grp 04]:standardize(time_1),country_grp_2:standardize(time_1),grp 04 time_1,-0.9227809640702929,0.04788957329619996,-0.8289110820892103,-1.0166508460513755,Devt Time <=30
country_grp_2[grp 05]:standardize(time_1),country_grp_2:standardize(time_1),grp 05 time_1,-0.8920601865485692,0.04580687789493169,-0.8022726623348111,-0.9818477107623274,Devt Time <=30
country_grp_2[grp 06]:standardize(time_1),country_grp_2:standardize(time_1),grp 06 time_1,-0.5532793818527878,0.05125552261116308,-0.4528117951271744,-0.6537469685784012,Devt Time <=30
country_grp_2[grp 07]:standardize(time_1),country_grp_2:standardize(time_1),grp 07 time_1,-0.16768133631640264,0.029980966353831788,-0.1089146867180377,-0.22644798591476759,Devt Time <=30
country_grp_2[grp 08]:standardize(time_1),country_grp_2:standardize(time_1),grp 08 time_1,-0.26719386949771357,0.03822729886773741,-0.19226332019054693,-0.3421244188048802,Devt Time <=30
country_grp_2[grp 09]:standardize(time_1),country_grp_2:standardize(time_1),grp 09 time_1,-0.007581627103454175,0.051029775884496004,0.09244346625395175,-0.10760672046086009,Devt Time <=30
country_grp_2[grp 10]:standardize(time_1),country_grp_2:standardize(time_1),grp 10 time_1,0.12566413920126293,0.03243467678096452,0.1892403849675891,0.06208789343493677,Devt Time <=30
tail_grp[tail grp 01]:standardize(time_2),tail_grp:standardize(time_2),tail grp 01 time_2,-2.6533323001664573,0.07542522533192692,-2.505488907273534,-2.8011756930593807,Tail Devt Time >30
tail_grp[tail grp 02]:standardize(time_2),tail_grp:standardize(time_2),tail grp 02 time_2,-2.14647155399946,0.0165631641640147,-2.11400556697358,-2.17893754102534,Tail Devt Time >30
